subBranch,Date,category,mergeSum,finalMerge
workstream_apdkpi,Aug 16, 2015,t,11,0
workstream_dmem,Aug 16, 2015,t,0,0
workstream_infrastructure,Aug 16, 2015,t,845,0
vertical/allocation,Aug 17, 2015,t,0,0
workstream_apdkpi,Aug 17, 2015,t,0,0
workstream_dmem,Aug 17, 2015,t,0,0
workstream_infrastructure,Aug 17, 2015,t,0,0
workstream_modeling,Aug 17, 2015,t,0,0
xc_incremental,Aug 17, 2015,t,138,0
vertical/allocation,Aug 18, 2015,t,0,0
workstream_apdkpi,Aug 18, 2015,t,8,0
workstream_dmem,Aug 18, 2015,t,0,0
workstream_dmem,Aug 19, 2015,t,0,0
workstream_infrastructure,Aug 19, 2015,t,0,0
workstream_modeling,Aug 19, 2015,t,2,0
vertical/devinfra,Aug 20, 2015,t,0,0
workstream_apdkpi,Aug 20, 2015,t,0,0
workstream_infrastructure,Aug 20, 2015,t,0,0
workstream_modeling,Aug 20, 2015,t,0,0
vertical/allocation,Aug 21, 2015,t,2,0
workstream_apdkpi,Aug 21, 2015,t,0,0
workstream_dmem,Aug 21, 2015,t,0,0
workstream_infrastructure,Aug 21, 2015,t,0,0
workstream_lumira,Aug 21, 2015,t,64,0
workstream_modeling,Aug 21, 2015,t,0,0
workstream_infrastructure,Aug 22, 2015,t,0,0
workstream_infrastructure,Aug 23, 2015,t,0,0
vertical/allocation,Aug 24, 2015,t,0,0
workstream_apdkpi,Aug 24, 2015,t,0,0
workstream_lumira,Aug 24, 2015,t,0,0
workstream_modeling,Aug 24, 2015,t,0,0
workstream_infrastructure,Aug 25, 2015,t,2,2
workstream_lumira,Aug 25, 2015,t,0,0
workstream_dmem,Aug 26, 2015,t,10,5
workstream_infrastructure,Aug 26, 2015,t,7,7
workstream_lumira,Aug 26, 2015,t,0,0
workstream_modeling,Aug 26, 2015,t,0,0
vertical/allocation,Aug 27, 2015,t,2,2
workstream_apdkpi,Aug 27, 2015,t,91,3
workstream_infrastructure,Aug 27, 2015,t,0,0
workstream_kpicharts,Aug 27, 2015,t,214,0
workstream_lumira,Aug 27, 2015,t,0,0
workstream_modeling,Aug 27, 2015,t,0,0
vertical/allocation,Aug 28, 2015,t,164,0
workstream_infrastructure,Aug 28, 2015,t,0,0
workstream_lumira,Aug 28, 2015,t,0,0
workstream_modeling,Aug 28, 2015,t,0,0
workstream_dmem,Aug 29, 2015,t,0,0
workstream_infrastructure,Aug 29, 2015,t,0,0
workstream_apdkpi,Aug 30, 2015,t,0,0
workstream_dmem,Aug 30, 2015,t,0,0
workstream_infrastructure,Aug 30, 2015,t,0,0
workstream_modeling,Aug 30, 2015,t,0,0
workstream_lumira,Aug 31, 2015,t,0,0
workstream_modeling,Aug 31, 2015,t,0,0
workstream_apdkpi,Sep 1, 2015,t,0,0
workstream_modeling,Sep 1, 2015,t,0,0
vertical/allocation,Sep 2, 2015,t,0,0
workstream_infrastructure,Sep 2, 2015,t,8,0
workstream_lumira,Sep 2, 2015,t,0,0
workstream_modeling,Sep 2, 2015,t,0,0
vertical/allocation,Sep 3, 2015,t,0,0
workstream_apdkpi,Sep 3, 2015,t,20,0
workstream_lumira,Sep 3, 2015,t,0,0
vertical/allocation,Sep 4, 2015,t,0,0
vertical/boardroom,Sep 4, 2015,t,0,0
workstream_apdkpi,Sep 4, 2015,t,5,0
