subBranch;commitId;category;days;mergeSize;date;rate
poc/data_acquisition;1012801;t;1;197;Jul 2, 2015;197
workstream_lumira_11;1200213;t;2;197;Sep 24, 2015;98.5
integration;494445;b;1;197;May 22, 2014;197
poc/boardroom_redefined;1000843;t;1;196;Jun 25, 2015;196
poc/da;1157966;t;2;196;Sep 2, 2015;98
poc/boardroom_redefined;1007555;t;1;195;Jun 30, 2015;195
vertical/allocation;1231720;t;1;195;Oct 12, 2015;195
workstream_lumira_explore;984921;t;2;195;Jun 16, 2015;97.5
workstream_collaboration;1110463;t;1;195;Aug 6, 2015;195
workstream_collaboration;1110445;t;2;195;Aug 6, 2015;97.5
vertical/allocation;1204166;t;1;195;Sep 25, 2015;195
integration;493307;b;1;195;May 21, 2014;195
vertical/boardroom;1270800;t;1;195;Nov 2, 2015;195
integration;495240;b;1;194;May 22, 2014;194
workstream_collaboration;1122441;t;1;194;Aug 12, 2015;194
vertical/boardroom;1200586;t;1;194;Sep 24, 2015;194
poc/google-drive;1003859;t;1;193;Jun 26, 2015;193
workstream_collaboration;752751;b;1;192;Dec 30, 2014;192
vertical/allocation;1219038;t;2;192;Oct 5, 2015;96
vertical/allocation;993916;t;1;192;Jun 22, 2015;192
integration;501467;b;1;192;May 28, 2014;192
poc/wrangling;1117691;t;1;192;Aug 10, 2015;192
poc/boardroom_svb;1217589;t;1;191;Oct 4, 2015;191
workstream_lumira_uviz;1175299;t;1;191;Sep 10, 2015;191
integration;495252;b;1;191;May 22, 2014;191
poc/boardroom_svb;1221698;t;1;190;Oct 6, 2015;190
vertical/allocation;1216866;t;1;190;Oct 2, 2015;190
poc/geospatial;992131;t;1;190;Jun 19, 2015;190
poc/boardroom_redefined;1000179;t;1;188;Jun 25, 2015;188
integration;503961;b;1;188;May 30, 2014;188
workstream_ux;1088682;t;1;188;Jul 27, 2015;188
integration;499387;b;1;188;May 27, 2014;188
poc/boardroom_redefined;1008139;t;1;188;Jun 30, 2015;188
integration;500946;b;1;187;May 27, 2014;187
workstream_collaboration;1188808;t;1;187;Sep 17, 2015;187
vertical/allocation;1268838;t;1;187;Oct 31, 2015;187
integration;501375;b;1;187;May 28, 2014;187
vertical/boardroom;1183071;t;1;186;Sep 15, 2015;186
poc/wrangling;1166264;t;4;186;Sep 7, 2015;46.5
workstream_lumira_11;1200865;t;1;186;Sep 24, 2015;186
workstream_lumira_blending;868383;b;1;186;Mar 25, 2015;186
vertical/allocation;1096265;t;1;186;Jul 29, 2015;186
integration;492366;b;1;186;May 21, 2014;186
integration;499315;b;1;186;May 27, 2014;186
workstream_collaboration;1184653;t;1;185;Sep 16, 2015;185
vertical/allocation;1005808;t;1;185;Jun 29, 2015;185
poc/rptfcst;1007563;t;1;185;Jun 30, 2015;185
vertical/allocation;1215273;t;1;184;Oct 1, 2015;184
poc/dataset;1070272;t;2;184;Jul 21, 2015;92
vertical/allocation;1108788;t;1;183;Aug 5, 2015;183
vertical/boardroom;1212830;t;1;183;Sep 30, 2015;183
workstream_lumira_11;1201836;t;1;183;Sep 24, 2015;183
