CHANGEID,MERGESIZE
921787,8
921782,0
921754,0
921289,0
921144,111
962687,80
961602,26
961503,285,993
1017855,23
1017403,607,847
1018016,3,733
1020335,815
1020525,1,779
1021009,859
1023568,306,582
1015597,119
1025870,8
1028354,235
1029623,5
1030074,10
1030209,12
1032234,308,544
1032167,6
1034201,1,149
1036963,1,132
1037088,335
1037342,42
1039148,3
1043499,29
1043625,17
1043896,406
1044182,16
1043904,4
1044566,11
1044619,1
1046624,140
1068638,133
1081065,11,295
1075878,24
1075685,4
1083222,5
1083611,3
1086321,42
1086605,429
1089725,348
1091928,271
1090149,44
1089301,44
1089047,9
1087257,68
1098349,26
1098860,26
1097221,79
1097115,10
1101547,12
1102977,34
1111128,8
1114398,10
1112275,267
1115318,171
1119208,19
1119357,22
1119730,92
1122328,26
1124348,13
1125372,11
1125846,214
1126850,845
1126399,232
1127148,26
1127572,10
1127669,1,429
1125714,67
1125763,71
1129271,34
1129375,8
1129685,53
1131094,11
1139164,35
1138550,26
1138413,19
1137023,266
1136324,576
1136008,8
1144803,49
1144081,10
1141587,369
1139632,11
1145866,7
1141348,184
1146844,5
1146750,5
1146834,3
1147109,5
1147853,23
1148950,70
1149682,10
1149946,7
1149840,3
1150713,116
1150706,164
530406,172,789
567299,186
565669,144
716883,273
710524,42
752508,3
751504,381
751383,35
751375,43
751189,620
750475,23
750430,17
749798,78
749504,59
749346,4
748633,4
748742,907
748689,466
748566,16
748260,1,437
747535,418
747518,528
747482,206
791099,2,348
787456,8
787195,31
785707,30
785620,406
784933,9
784177,42
783841,112
920571,4
783539,1
783136,218
783124,808
783102,93
1151790,0
783100,52
783063,178
773095,22
782995,265
920457,0
831731,294
830957,355
829875,326
920644,0
920793,0
920560,0
920099,0
920369,0
920293,0
920117,0
1149322,0
920067,0
919443,0
919278,4
919948,0
919465,0
919392,0
919574,11
919042,0
918443,0
918497,0
918358,0
918388,0
918128,0
917765,2
918099,0
917673,0
917967,0
917372,0
917835,0
917603,6
917728,0
917597,6
917684,3,312
917407,0
917358,0
1151795,0
915676,0
916467,0
915872,0
915875,0
915674,0
915866,0
915557,0
915560,0
915529,0
914370,0
915199,0
914942,0
914002,0
914182,6
914596,0
913996,1,268
914232,22
913738,0
913576,6
913575,6
913461,0
913380,0
913331,0
913323,0
913271,42
913304,0
913302,0
913265,0
913259,0
913260,0
913240,0
960942,0
960702,0
960721,0
960650,0
960409,23
960193,0
960163,0
959232,0
959962,0
959714,0
959696,0
959455,0
957793,2
958708,0
958702,9
958686,34
958696,0
958200,0
957417,3
957087,0
957244,0
957265,58
957226,0
956925,4,757
957076,0
957044,74
956297,296,580
956813,0
956648,0
956743,185
956649,0
956645,0
956415,0
956263,0
955698,0
948967,0
955684,69
955132,0
954980,0
954870,0
954039,289,413
954807,0
954872,0
954825,45
954797,97
953826,0
954217,0
953588,0
953834,0
953633,18
953638,4
953171,9
953247,0
952960,0
951859,0
952979,0
952278,0
952140,0
952130,0
951908,0
951906,0
951909,0
951047,0
951027,0
1151991,0
1152001,0
1152000,0
1152005,0
1152046,0
1152034,0
1152072,0
1152133,0
1152134,0
1152178,0
1152355,177
1152373,58
1177548,0
1152360,0
1152418,0
1147016,0
1152504,0
1152513,0
1152584,0
1152439,0
1152697,0
1152691,0
1152695,0
1177523,0
1152580,0
1177522,0
1154107,0
1154122,0
1151530,0
1177401,0
1154418,0
1154210,0
1154745,0
1154733,0
1177182,0
1155206,0
1152467,83
1154236,0
1155085,0
1154920,0
1155014,0
1155584,8
1185609,23
1156355,0
1156588,0
1177155,0
1156792,0
1156862,0
1176983,54
1176649,0
1176490,4
1176300,0
1170911,0
1176440,0
1176352,0
1176306,0
1176239,0
1176166,0
1176090,2
1176026,0
1175942,0
1185525,0
1175493,0
1175259,0
1175461,0
1175460,0
1175390,0
1175327,3
1174925,0
1174900,0
1174673,0
1174755,0
1173265,0
1165543,77
1174536,0
1165415,0
1165416,0
1173590,2
1173515,0
1173473,2
1171393,0
1173388,0
1173323,0
1185521,0
1200633,17
1185115,0
1177892,0
1177841,0
1172841,0
1172386,0
1172362,0
1172390,0
1172229,0
1172227,56
1172207,0
1172017,0
1171910,0
1171853,0
1170672,6
1170885,0
1170869,0
1170743,0
1170504,0
1170749,0
1170607,41
1170673,0
1170592,26
1170466,0
1170366,0
1170267,112
1170214,298
1170104,14
1169031,0
1169961,14
1165014,11
1169430,26
1169383,14
1168943,0
1168285,0
1166178,24
1168283,0
1168104,13
1167984,0
1167967,0
1167963,0
1167960,0
1167425,0
1166523,0
1166410,0
1166346,0
1166214,250
1166030,6
1165898,0
1165986,0
1165808,0
1155162,0
1184157,0
1148018,0
1165593,0
1165583,9
1165131,0
1164504,0
1164496,0
1164999,288
1164576,0
1164592,0
1164075,0
1172925,0
1173125,0
1173013,0
1173141,0
1172942,6
1163294,0
1163117,0
1163130,0
1162937,0
1163170,0
1163168,0
1163121,0
1163009,5
1163002,0
1162922,0
1162912,0
1162849,0
1162430,0
1162400,475
1162307,0
1159924,0
1162059,0
1162041,0
1161002,0
1161101,0
1160981,0
1160911,20
1160767,47
1160518,0
1160308,0
1160427,0
1160337,0
1159529,0
1159522,0
1159703,0
1159425,0
1159418,0
1158807,0
1158738,0
1158130,0
1158415,0
1158424,0
1158419,0
1157995,0
1157579,0
1157409,0
1156775,0
1157322,0
1157305,4
1187931,0
1187924,0
1237687,0
1187719,0
1185893,0
1187176,0
1186736,21
1186536,0
1186421,0
1186383,0
1186234,0
1185952,0
1200061,0
1199862,0
1200169,20
1199865,0
1190567,70
1190268,0
1190141,0
1190157,0
1190149,0
1190132,0
1189805,0
1189290,0
1188954,0
1188804,0
1188735,3
1188905,0
1189015,0
1188499,2
1188734,0
1185426,0
1188663,0
1188263,0
1188483,0
1188568,0
1188238,10
1188234,0
1188241,27
1188237,0
1200659,0
1193737,0
1201886,396
1201541,0
1201619,0
1200284,0
1201615,0
1201293,0
1201431,0
1200585,0
1201384,0
1200456,0
1201051,0
1200300,0
1202901,0
1202708,0
1203723,0
1202898,0
1202905,0
1202864,0
1202824,0
1202947,89
1202868,0
1202701,0
1193454,0
1193450,40
1192603,0
1192706,0
1191473,4
1191881,0
1191684,0
1191588,0
1179460,0
1171185,0
1191404,4
1191363,0
1191110,0
1191091,0
1191026,0
1190843,0
1190844,0
1190599,6
1202659,0
1202454,0
1202429,0
1202158,25
1211312,0
1211076,0
1205249,0
1205276,0
1205255,0
1205145,0
1204955,11
1205029,0
1204804,0
1204806,2
1204805,148
1204592,0
1204593,0
1204571,280
1180676,0
1180672,6
1179983,0
1179926,0
1179360,7
1179684,0
1179787,0
1179471,7
1179300,0
1179104,0
1204358,0
1178994,0
1178917,0
1178810,0
1178772,0
1178690,0
1178715,0
1178513,0
1178473,0
1178352,0
1178424,2
1178413,138
1178385,137
1178384,0
1178275,0
1178296,0
1177616,11
1178082,0
1202142,0
1204343,7
1204239,0
1210683,0
1209539,145,758
1211011,0
1210855,0
1210816,0
1210114,0
1210565,0
1210612,0
1210652,0
1209897,21
1210346,0
1209712,0
1208793,4
1196597,0
1197079,0
1197021,0
1209795,0
1196973,9
1196894,0
1196595,0
1196607,5
1196627,4
1196628,0
1196309,0
1196308,37
1196340,0
1209925,0
1195501,0
1194807,0
1195717,0
1195428,6
1195503,0
1194852,104
1194745,19
1194149,0
1194337,794
1193983,0
1194179,0
1193946,0
1191418,2
1194031,0
1194053,12
1193981,0
1209794,0
1209139,0
1208399,0
1208919,0
1205615,0
1205360,0
1205611,0
1205642,122
1205304,5
1182734,0
1181679,0
1181612,0
1179339,69
1181413,0
1181052,0
1181168,0
1181155,0
1181063,0
1181064,9
1208261,3
1207957,0
1208018,0
1207992,0
1207838,0
1206259,0
1207773,0
1204772,0
1207383,0
1207275,0
1207297,992
1207019,0
1207016,0
1206964,0
1205769,0
1206602,0
1206177,0
1205892,238
1237515,0
1229010,0
1229007,12
1226870,5
1227328,0
1226913,0
1226963,0
1226874,0
1226358,3
1226623,0
1184116,0
1183983,0
1183627,0
1183634,18
1183626,0
1183315,0
1226465,97
1183374,0
1183371,0
1183356,0
1183155,0
1225930,0
1225929,0
1224581,3
1225016,0
1224626,0
1224453,0
1224232,31
1224050,0
1224090,0
1223663,12
1237863,0
1223548,0
1223322,0
1222939,0
1222926,19
1222371,0
1222312,274
1222233,0
1221233,0
1221128,0
1221850,0
1221725,28
1221687,0
1199854,0
1199959,0
1199742,0
1199706,0
1199743,0
1199694,0
1198989,0
1199536,5
1199644,0
1199276,0
1198988,0
1198696,0
1199457,11
1199275,4
1193645,184
1198786,0
1198693,25
1197902,0
1197822,0
1197009,9
1197254,0
1197204,0
1220572,0
1221229,0
1219151,0
1219150,0
1219163,0
1217624,0
1218607,0
1217905,13
1217955,0
1217723,2
1217877,0
1217472,6
1214865,0
1217327,0
1217204,0
1217202,0
1216939,5
1216832,0
1216423,0
1216091,0
1216013,0
1215787,0
1215786,42
1210249,903
1215569,0
1215421,0
1215358,0
1214663,0
1215073,0
1215068,0
1214548,0
1214448,0
1214500,0
1213736,0
1213666,4
1213080,0
1213079,0
1212623,0
1212617,0
1240463,0
1232517,0
1232515,0
1231264,0
1231201,143
1231483,0
1231335,0
1231172,0
1227326,0
1230510,0
1230553,0
1230446,3
1230150,4
1230157,0
1230052,0
1230031,25
1230035,0
1229450,0
1208785,0
1229485,1,051
1202110,0
1229235,0
1239850,0
1238805,0
1236493,0
1239183,0
1238363,0
1238322,0
1238300,0
1238219,0
1243300,0
1243147,724
1238521,0
1243052,124
1238317,9
1220489,4
1220168,0
1219859,0
1219197,0
1242284,0
1241361,0
1241667,0
1241413,0
1241033,0
1241095,0
1237514,0
1236779,0
1236896,0
1236766,0
1236232,0
1236287,0
1235402,0
1235438,0
1235508,0
1235408,0
1235405,0
1233371,80
1234652,0
1234907,0
1234909,0
1234648,0
1234793,36
1234087,0
1231809,0
1233465,0
1233305,0
1233097,0
1233272,0
1232706,0
1232597,0
1231742,0
1246171,18
1246073,0
1241705,0
1244319,50
1244613,0
1244829,54,131
1244598,0
1244198,3
1244072,0
1244107,0
1244086,0
1244067,0
1243803,0
1243280,0
1243217,3
1243349,0
1249259,0
1249187,0
1249142,0
1248683,0
1248749,10
1248758,0
1248660,339
1248151,13
1245960,0
1246965,17
1246877,0
1244597,0
1246639,0
1246109,15
1246067,0
1246285,0
1246276,0
1251808,588
1251616,0
1251524,58
1251691,0
1251641,40
1251472,594
1246653,0
1251210,0
1251063,240
1248940,437
1251178,0
1251142,359
1251037,0
1250877,0
1249327,0
1250866,4
1250718,0
1248405,0
1250472,5
1249425,0
1249925,0
1249554,0
1247525,0
1249390,0
1249376,5
1253145,0
1253112,5
1252841,0
1252712,0
1251893,0
1251839,1,441
1253222,0
1254762,0
1254438,873
1254365,0
1253653,0
1254302,0
1254051,0
1253928,0
1256167,0
1256085,0
1256054,0
1256047,0
1256045,0
1256046,3
1256039,0
1256032,0
1256017,0
1256010,18
1256016,4
1255998,190
1255972,0
1255916,0
1254926,0
1255882,0
1255513,9
1255366,0
1255551,46
1255458,28
1254280,0
1255459,0
1255403,2
1258579,0
1258325,152
1258445,0
1258404,0
1258417,134
1258308,0
1258264,0
1257729,83
1257698,0
1257594,0
1257655,0
1257635,0
1257327,0
1257308,9
1257346,9
1256839,0
1256890,159
1254739,1
1256709,0
1256332,0
1256178,0
1256327,4
1256315,0
1256336,38
1261283,154
1263330,12
1262889,0
1262722,0
1262457,0
1261917,0
1259441,0
1261219,0
1261683,10
1261747,0
1261618,0
1261627,0
1261503,4,594
1261345,0
1261486,0
1261450,0
1260126,0
1261339,7
1261342,0
1261134,0
1261280,0
1260893,0
1260885,0
1261001,0
1259270,0
1260789,0
1260650,0
1259516,4
1259943,0
1259582,0
1259472,0
1259607,0
1259280,0
1259192,0
1259093,0
1258888,0
1258812,0
1258814,0
1258300,0
1257922,0
1263622,24
1259091,2
1263959,0
1264052,0
1264299,0
1264297,0
1264762,0
1265114,0
1265553,0
